meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
Brazilian National Championships (50m),20.91,18/12/2009,Men 50 Freestyle LCM Male,BRA,Brazil,"CIELO FILHO, Cesar",M,10/01/1987,,,1,1,,Sao Paulo,BRA
French National Championships (50m),20.94,26/04/2009,Men 50 Freestyle LCM Male,FRA,France,"BOUSQUET, Frederick",M,08/04/1981,,,2,2,,Montpellier,FRA
US Olympic Team Trials - Wave II,21.04,20/06/2021,Men 50 Freestyle LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,16/08/1996,,,3,3,981,Omaha,USA
World Aquatics Championships - Fukuoka 2023,21.06,29/07/2023,Men 50 Freestyle LCM Male,AUS,Australia,"MCEVOY, Cameron",M,13/05/1994,,,4,4,978,Fukuoka,JPN
European Championships 2018,21.11,08/08/2018,Men 50 Freestyle LCM Male,GBR,Great Britain,"PROUD, Benjamin",M,21/09/1994,,,5,5,971,Glasgow,GBR
16th FINA World Championships 2015,21.19,08/08/2015,Men 50 Freestyle LCM Male,FRA,France,"MANAUDOU, Florent",M,12/11/1990,,,6,6,960,Kazan,RUS
AIS International,21.19,26/11/2009,Men 50 Freestyle LCM Male,AUS,Australia,"CALLUS, Ashley",M,10/03/1979,,,6,7,,Canberra,AUS
13th FINA World Championships 2009,21.20,31/07/2009,Men 50 Freestyle LCM Male,TTO,Trinidad and Tobago,"BOVELL, George",M,18/07/1983,,,8,8,,Rome,ITA
13th FINA World Championships 2009,21.25,01/08/2009,Men 50 Freestyle LCM Male,FRA,France,"LEVEAUX, Amaury",M,02/12/1985,,,9,9,,Rome,ITA
FINA Swimming World Cup 2019,21.27,15/08/2019,Men 50 Freestyle LCM Male,RUS,Russian Federation,"MOROZOV, Vladimir",M,16/06/1992,,,10,10,950,Singapore,SGP
17th FINA World Championships 2017,21.27,29/07/2017,Men 50 Freestyle LCM Male,BRA,Brazil,"FRATUS, Bruno",M,30/06/1989,,,10,11,950,Budapest,HUN
Australian National Championships (50m),21.28,28/03/2008,Men 50 Freestyle LCM Male,AUS,Australia,"SULLIVAN, Eamon",M,30/08/1985,,,12,12,1029,Sydney,AUS
13th FINA World Championships 2009,21.29,31/07/2009,Men 50 Freestyle LCM Male,CRO,Croatia,"DRAGANJA, Duje",M,27/02/1983,,,13,13,,Rome,ITA
European Championships 2018,21.37,08/08/2018,Men 50 Freestyle LCM Male,ITA,Italy,"VERGANI, Andrea",M,15/06/1997,,,14,14,936,Glasgow,GBR
16th FINA World Championships 2015,21.37,07/08/2015,Men 50 Freestyle LCM Male,USA,United States of America,"ADRIAN, Nathan",M,07/12/1988,,,14,15,936,Kazan,RUS
Olympic Games Rio 2016,21.40,12/08/2016,Men 50 Freestyle LCM Male,USA,United States of America,"ERVIN, Anthony",M,26/05/1981,,,16,16,932,Rio de Janeiro,BRA
13th FINA World Championships 2009,21.40,31/07/2009,Men 50 Freestyle LCM Male,USA,United States of America,"JONES, Cullen",M,29/02/1984,,,16,17,,Rome,ITA
19th FINA World Championships Budapest 2022,21.41,24/06/2022,Men 50 Freestyle LCM Male,USA,United States of America,"ANDREW, Michael",M,18/04/1999,,,18,18,931,Budapest,HUN
13th FINA World Championships 2009,21.42,31/07/2009,Men 50 Freestyle LCM Male,HUN,Hungary,"TAKACS, Krisztian",M,30/12/1985,,,19,19,,Rome,ITA
European Championships 2018,21.44,09/08/2018,Men 50 Freestyle LCM Male,GRE,Greece,"GKOLOMEEV, Kristian",M,04/07/1993,,,20,20,927,Glasgow,GBR
Polish National Championships (50m),21.45,24/05/2018,Men 50 Freestyle LCM Male,POL,Poland,"JURASZEK, Pawel",M,08/10/1994,,,21,21,926,Lodz,POL
13th FINA World Championships 2009,21.45,31/07/2009,Men 50 Freestyle LCM Male,SWE,Sweden,"NYSTRAND, Stefan",M,20/10/1981,,,21,22,,Rome,ITA
Olympic Games Rio 2016,21.46,11/08/2016,Men 50 Freestyle LCM Male,UKR,Ukraine,"GOVOROV, Andrii",M,10/04/1992,,,23,23,925,Rio de Janeiro,BRA
Olympic Games Beijing 2008,21.49,16/08/2008,Men 50 Freestyle LCM Male,FRA,France,"BERNARD, Alain",M,01/05/1983,,,24,24,1000,Beijing,CHN
Phillips 66 National Championships (50m),21.50,01/07/2023,Men 50 Freestyle LCM Male,USA,United States of America,"HELD, Ryan",M,27/06/1995,,,25,25,919,Indianapolis,USA
2013 EnergyAustralia Swimming,21.52,26/04/2013,Men 50 Freestyle LCM Male,AUS,Australia,"MAGNUSSEN, James",M,11/04/1991,,,26,26,917,Adelaide,AUS
World Aquatics Championships - Fukuoka 2023,21.57,29/07/2023,Men 50 Freestyle LCM Male,USA,United States of America,"ALEXY, Jack",M,19/01/2003,,,27,27,910,Fukuoka,JPN
19th FINA World Championships Budapest 2022,21.57,24/06/2022,Men 50 Freestyle LCM Male,FRA,France,"GROUSSET, Maxime",M,24/04/1999,,,27,28,910,Budapest,HUN
Swimmeet Amsterdam,21.58,03/07/2021,Men 50 Freestyle LCM Male,NED,Netherlands,"DE BOER, Thom",M,24/12/1991,,,29,29,909,Amsterdam,NED
SM 2017,21.58,06/07/2017,Men 50 Freestyle LCM Male,FIN,Finland,"LIUKKONEN, Ari-Pekka",M,09/02/1989,,,29,30,909,Tampere,FIN
European Championships 2022,21.60,17/08/2022,Men 50 Freestyle LCM Male,ITA,Italy,"DEPLANO, Leonardo",M,21/07/1999,,,31,31,907,Rome,ITA
19th FINA World Championships Budapest 2022,21.60,24/06/2022,Men 50 Freestyle LCM Male,HUN,Hungary,"SZABO, Szebasztian",M,11/03/1996,,,31,32,907,Budapest,HUN
19th FINA World Championships Budapest 2022,21.61,24/06/2022,Men 50 Freestyle LCM Male,CAN,Canada,"LIENDO, Josh",M,20/08/2002,,,33,33,905,Budapest,HUN
Italian Winter Championhips,21.64,20/12/2014,Men 50 Freestyle LCM Male,ITA,Italy,"ORSI, Marco",M,11/12/1990,,,34,34,902,Riccione,ITA
Olympic Games Beijing 2008,21.64,16/08/2008,Men 50 Freestyle LCM Male,USA,United States of America,"WILDMAN-TOBRINER, Ben",M,21/09/1984,,,34,35,979,Beijing,CHN
Russian Olympic Trials,21.64,01/06/2000,Men 50 Freestyle LCM Male,RUS,Russian Federation,"POPOV, Alexander",M,16/11/1971,,,34,36,,Moscow,RUS
World Aquatics Championships - Fukuoka 2023,21.65,28/07/2023,Men 50 Freestyle LCM Male,AUS,Australia,"COOPER, Isaac",M,07/01/2004,,,37,37,900,Fukuoka,JPN
Japan National Championships (50m),21.67,07/04/2019,Men 50 Freestyle LCM Male,JPN,Japan,"SHIOURA, Shinri",M,26/11/1991,,,38,38,898,Tokyo,JPN
